date,store_id,product_id,customer_id,selling_price,competitor_price,promotion,discount_rate,demand_units,units_sold,inventory_available,stockout,festival,festival_flag,season,rainfall_mm,temperature_c,weather,revenue,profit,price_gap_pct,year,month,day,dayofweek,weekend
2025-01-01,S001,P001,C0165,19673.68,22482.47,1,0.106,5,5,18,0,,0,Winter,32.8,29.2,Normal,98368.4,27543.15,0.12493244736899463,2025,1,1,2,0
2025-01-01,S001,P002,C0355,59000.0,60333.01,0,0.0,4,4,27,0,,0,Winter,32.8,29.2,Normal,236000.0,47200.0,0.022094206803207762,2025,1,1,2,0
2025-01-01,S001,P003,C0665,69900.0,69227.22,0,0.0,3,3,38,0,,0,Winter,32.8,29.2,Normal,209700.0,37746.0,-0.009718431564924877,2025,1,1,2,0
2025-01-01,S001,P004,C0088,129900.0,133843.11,0,0.0,1,1,35,0,,0,Winter,32.8,29.2,Normal,129900.0,20784.0,0.02946068721804198,2025,1,1,2,0
2025-01-01,S001,P005,C0708,24999.0,24372.35,0,0.0,5,5,33,0,,0,Winter,32.8,29.2,Normal,124995.0,27498.9,-0.02571151325169717,2025,1,1,2,0
2025-01-01,S001,P006,C0703,39999.0,41291.84,0,0.0,2,2,9,0,,0,Winter,32.8,29.2,Normal,79998.0,15999.6,0.03130981811418422,2025,1,1,2,0
2025-01-01,S001,P007,C0458,17999.0,18008.52,0,0.0,7,7,34,0,,0,Winter,32.8,29.2,Normal,125993.0,32758.18,0.0005286386665867287,2025,1,1,2,0
2025-01-01,S001,P008,C0704,24999.0,25040.74,0,0.0,5,5,30,0,,0,Winter,32.8,29.2,Normal,124995.0,31248.75,0.0016668836464098745,2025,1,1,2,0
2025-01-01,S001,P009,C0504,33999.0,34748.12,0,0.0,4,4,26,0,,0,Winter,32.8,29.2,Normal,135996.0,29919.12,0.021558576406435874,2025,1,1,2,0
2025-01-01,S001,P010,C0788,32999.0,33299.15,0,0.0,5,5,23,0,,0,Winter,32.8,29.2,Normal,164995.0,36298.9,0.009013743594055747,2025,1,1,2,0
2025-01-01,S001,P011,C0169,1299.0,1259.53,0,0.0,5,5,20,0,,0,Winter,32.8,29.2,Normal,6495.0,2273.25,-0.03133708605590976,2025,1,1,2,0
2025-01-01,S001,P012,,4490.0,4225.99,0,0.0,0,0,25,0,,0,Winter,32.8,29.2,Normal,0.0,0.0,-0.062472935335862186,2025,1,1,2,0
2025-01-01,S001,P013,C0189,6205.26,7149.23,1,0.113,7,7,35,0,,0,Winter,32.8,29.2,Normal,43436.82,9990.46,0.13203799570023617,2025,1,1,2,0
2025-01-01,S001,P014,C0275,7999.0,7686.09,0,0.0,3,3,31,0,,0,Winter,32.8,29.2,Normal,23997.0,4799.4,-0.0407112068685118,2025,1,1,2,0
2025-01-01,S001,P015,C0684,19900.0,20526.65,0,0.0,1,1,37,0,,0,Winter,32.8,29.2,Normal,19900.0,3582.0,0.03052860549578238,2025,1,1,2,0
2025-01-01,S001,P016,C0673,1499.0,1477.89,0,0.0,5,5,32,0,,0,Winter,32.8,29.2,Normal,7495.0,2398.4,-0.014283877690491104,2025,1,1,2,0
2025-01-01,S001,P017,C0562,3999.0,3968.48,0,0.0,4,4,35,0,,0,Winter,32.8,29.2,Normal,15996.0,4318.92,-0.007690601943313304,2025,1,1,2,0
2025-01-01,S001,P018,C0055,1499.0,1526.15,0,0.0,9,9,25,0,,0,Winter,32.8,29.2,Normal,13491.0,5126.58,0.01778986338171221,2025,1,1,2,0
2025-01-01,S001,P019,C0038,1900.0,1915.62,0,0.0,5,5,36,0,,0,Winter,32.8,29.2,Normal,9500.0,2660.0,0.008154018020275364,2025,1,1,2,0
